,name,latitude,longitude,rating,number of reviews,affluence
247,Islamia Restaurant,24.8996654,91.8547593,5.0,1.0,
248,Family Hut+ flexiload,24.8999294,91.8553731,5.0,1.0,
249,New Appayon Restora,24.8996302,91.854428,,,
250,New Jalsha Restaurant,24.8996112,91.8545228,3.7,3.0,
251,Food Cafe,24.8997185,91.8537461,5.0,1.0,
252,Mujdalifa Restaurant,24.9013598,91.8535381,4.0,1.0,
253,P.S Fast Food Corner,24.8995893,91.8538248,5.0,2.0,
254,Sri Sri Jagannath Vojonaloy,24.8993141,91.8550472,3.6,14.0,
255,Nurani Restaurant,24.8995575,91.853278,3.6,8.0,
256,Lal Miah Restaurant,24.8995969,91.8531769,4.8,5.0,
257,Ujjal Restaurant,24.8995808,91.85316399999999,4.0,11.0,
258,Coffee House,24.8995592,91.85603359999999,4.3,4.0,
259,নিউ পিয়াসী রেষ্টুরেন্ট,24.89942779999999,91.8526471,,,
260,Kiron Restaurant,24.899559,91.8522418,3.0,5.0,
261,Jomidaar Restaurant,24.899572,91.8521957,3.9,231.0,$
262,Kazifarmskitchen,24.8990829,91.85679239999999,5.0,2.0,
263,Yeasin Restaurant,24.8991978,91.8569126,1.0,1.0,
264,S4U Snacks For You,24.8991941,91.85693479999999,3.1,10.0,
265,AL-MONSUR RESTAURANT,24.8996533,91.85193559999999,3.6,39.0,
266,Al Bahar Restaurant,24.8995328,91.85195809999999,3.3,29.0,
267,Monuluba Restaurent,24.8991609,91.8570834,3.3,24.0,
268,মা আবাসিক হোটেল এন্ড রেষ্টুরেন্ট,24.8997237,91.85162720000001,1.0,1.0,
269,হিরামন রেষ্টুরেন্ট,24.9001544,91.8515091,,,
270,Jom Jom Snacks,24.89913989999999,91.85741159999999,5.0,1.0,
271,Uttar Kajal Shah Fulkoli,24.9003746,91.8512188,4.0,1.0,
272,Rannaghor Cafe & Catering.,24.9013179,91.8584973,3.0,2.0,
273,রজব হোটেল,24.9041457,91.8532544,,,
274,Takdir Restaurant,24.9001067,91.8504909,3.6,9.0,
275,Rashidabad Kitchen,24.8970487,91.857314,5.0,5.0,
276,Shahjalal Snacks Bar (সোহাগ ভাইয়ের খিচুরি),24.9009331,91.8497057,4.3,6.0,
277,Dulal Restaurant,24.8986026,91.859167,,,
278,Tin Bhai Restaurant,24.89704709999999,91.85790949999999,3.4,11.0,
279,Laskar Villa 09,24.9003312,91.84933649999999,5.0,1.0,
280,Tea stall,24.8959053,91.8531617,,,
281,ফারহান ফ্রি আলু চপ,24.9054089,91.8568341,,,
282,জামান রেস্টুরেন্টে এন্ড ফাস্টফুড,24.8962942,91.8504375,,,
283,সুফিয়া হোটেল,24.8985669,91.86052529999999,,,
284,লোকনাথ রেস্টুরেন্ট এন্ড খিচুরী হাউজ,24.8983193,91.8605844,,,
285,ফারজানা রেস্টুরেন্ট এন্ড ভেরাইটিজ ষ্টোর,24.9038728,91.8491931,,,
286,Lemonade,24.9036753,91.8604592,4.1,26.0,
287,Mayer Dowa Snackbar,24.8986862,91.86122030000001,,,
288,New Meem Ghoruya Restaurant,24.8955315,91.85036509999999,4.0,1.0,
289,ঘর গিন্নি,24.9047979,91.8490217,5.0,1.0,
290,Mandarin Chinese Garden & Party Center,24.9050106,91.8600566,3.8,272.0,$$
291,Nipa's Kitchen,24.8988223,91.8617695,5.0,1.0,
292,Sufia Juice Coffee & Fast Food,24.8989571,91.8618429,3.0,1.0,
293,Arafat Kawsar Restaurant,24.8950991,91.8502541,1.0,1.0,
294,Mahin Restaurant,24.9040889,91.8480007,5.0,2.0,
295,Sayummy,24.9068339,91.85805490000001,1.5,2.0,
296,Nuri Restaurant,24.8980055,91.8617611,3.2,16.0,
297,Bonoful,24.8983558,91.86191509999999,4.1,9.0,
298,The spicy food,24.8984414,91.8619684,3.9,8.0,
299,Fatema Restaurant,24.8976166,91.8616485,3.7,599.0,$$
300,Holy Fame Restaurant,22.3652523,91.7809284,3.8,501.0,$$
301,Jaks Food (Pvt.) Ltd.,22.3681345,91.7786639,3.7,102.0,$$
302,Nishi,22.356851,91.783182,,,
303,Anik,22.356851,91.7831819,,,
304,Chittagong Satkania,22.356851,91.7831819,,,
305,আলু পুরি ঘর,22.356851,91.7831819,,,
306,Hotel chowkmaloncho,22.356851,91.7831819,,,
307,You tube,22.356851,91.7831819,1.0,1.0,
308,Park Kitchen,22.356851,91.7831819,5.0,1.0,
309,Maa Telecom,22.356851,91.7831819,,,
310,taski,22.356851,91.7831819,,,
311,comuter,22.356851,91.7831819,,,
312,GSM BORHAN,22.356851,91.7831819,,,
313,Kutum Bari Dostor Khana,22.356851,91.7831819,,,
314,Yasein vai official,22.356851,91.7831819,,,
315,সাধের কাচ্চি,22.356851,91.7831819,,,
316,Vivo,22.356851,91.7831819,,,
317,Rava,22.356851,91.7831819,,,
318,MD. Sujan,22.356851,91.7831819,,,
319,লাকী চক্রবর্ত্তী,22.356851,91.7831819,,,
320,computer,22.356851,91.7831819,,,
321,CDA SOLOSHAHAR,22.356851,91.7831819,,,
322,Mustahsin Rashid,22.356851,91.7831819,,,
323,সোনা মিয়ার দোকান,22.356851,91.7831819,2.0,1.0,
324,মোহাম্মদ আনোয়ার হোসেন,22.356851,91.7831819,,,
325,Md. Abul Hashem Bhuiyan Road,22.356851,91.7831819,,,
326,Alaoddin nadabade,22.356851,91.7831819,,,
327,Pc Park,22.356851,91.7831819,,,
328,M/ s tahmid enterprise,22.356851,91.7831819,,,
329,হোটেল আল ফয়েজ,22.356851,91.7831819,5.0,1.0,
330,Bangla Foods 2,22.356851,91.7831819,,,
331,S K Shahidul Ctg,22.356851,91.7831819,4.0,1.0,
332,Shahadat Hossein,22.356851,91.7831819,1.0,1.0,
333,চট্টগ্রাম টু হাতিয়া দ্বীপ অঞ্চল,22.356851,91.7831819,,,
334,Holy Inn lounge and restaurant,22.356851,91.7831819,,,
335,DEAR FOOD,22.356851,91.7831819,,,
336,Mdakash,22.356851,91.7831819,,,
337,sarah restora,22.356851,91.7831819,,,
338,রাসেল রাজু হোটেল,22.35679559999999,91.7833149,,,
339,ঘরোয়া খাবার(ভাত ঘর),22.3561762,91.78338749999999,5.0,1.0,
